version_from,version_to,tag_from,tag_to,modules_added,modules_removed,edges_added,edges_removed,new_cycles,removed_cycles,modules_with_fan_in_spike,modules_with_cyclomatic_spike
1,2,0.115.6,0.115.7,0,6,0,3,0,0,0,0
2,3,0.115.7,0.115.8,0,0,0,0,0,0,0,0
3,4,0.115.8,0.115.9,0,6,0,6,0,0,0,0
4,5,0.115.9,0.115.10,0,0,0,0,0,0,0,0
5,6,0.115.10,0.115.11,3,0,3,0,0,0,0,0
6,7,0.115.11,0.115.12,6,0,6,0,0,0,0,0
7,8,0.115.12,0.115.13,0,0,0,0,0,0,0,0
8,9,0.115.13,0.115.14,0,0,1,0,0,0,0,0
9,10,0.115.14,0.116.0,0,0,0,0,0,0,0,0
10,11,0.116.0,0.116.1,0,0,0,0,0,0,0,0
11,12,0.116.1,0.116.2,2,0,3,0,0,0,0,0
12,13,0.116.2,0.117.0,0,0,0,0,0,0,0,0
13,14,0.117.0,0.117.1,0,0,0,0,0,0,0,0
14,15,0.117.1,0.118.0,3,0,5,0,0,0,0,0
15,16,0.118.0,0.118.1,0,0,0,0,0,0,0,0
16,17,0.118.1,0.118.2,0,0,0,0,0,0,0,0
17,18,0.118.2,0.118.3,0,0,0,0,0,0,0,0
18,19,0.118.3,0.119.0,15,0,45,4,1,1,3,0
19,20,0.119.0,0.119.1,1,0,10,5,1,1,0,0
20,21,0.119.1,0.120.0,0,0,0,0,0,0,0,0
21,22,0.120.0,0.120.1,0,0,0,0,0,0,0,0
22,23,0.120.1,0.120.2,0,0,0,0,0,0,0,0
23,24,0.120.2,0.120.3,0,0,0,0,0,0,0,0
24,25,0.120.3,0.120.4,0,0,0,0,0,0,0,0
