repo_slug,tag,commit,filename,change_type,added_lines,deleted_lines
fastapi,0.115.10,a2644728f6cdfe48c686803446ca92a5aa386061,docs\en\docs\release-notes.md,MODIFY,1,1
fastapi,0.115.11,3824664620433f0055125adbf2fc212ced2bdf94,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.115.11,3824664620433f0055125adbf2fc212ced2bdf94,fastapi\__init__.py,MODIFY,1,1
fastapi,0.115.12,628c34e0cae200564d191c95d7edea78c88c4b5e,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.115.12,628c34e0cae200564d191c95d7edea78c88c4b5e,fastapi\__init__.py,MODIFY,1,1
fastapi,0.115.13,4734df1db89607c9579d2bb9795b02214e1e1d47,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.115.13,4734df1db89607c9579d2bb9795b02214e1e1d47,fastapi\__init__.py,MODIFY,1,1
fastapi,0.115.14,ebdeda2de6e17036e3048940b7a9e725ef6a95b7,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.115.14,ebdeda2de6e17036e3048940b7a9e725ef6a95b7,fastapi\__init__.py,MODIFY,1,1
fastapi,0.115.6,bb8c2a64981d3e806575a445115f29eddf014c77,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.115.6,bb8c2a64981d3e806575a445115f29eddf014c77,fastapi\__init__.py,MODIFY,1,1
fastapi,0.115.7,fe513719ea98abade167d8a89e92f600d9d8f0e5,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.115.7,fe513719ea98abade167d8a89e92f600d9d8f0e5,fastapi\__init__.py,MODIFY,1,1
fastapi,0.115.8,7128971f1d61e2e1e6f220a5f66baa925b635278,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.115.8,7128971f1d61e2e1e6f220a5f66baa925b635278,fastapi\__init__.py,MODIFY,1,1
fastapi,0.115.9,d90030c1e242d1e954a097c253734122eec926e3,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.115.9,d90030c1e242d1e954a097c253734122eec926e3,fastapi\__init__.py,MODIFY,1,1
fastapi,0.116.0,bd8f358fd93416835b06486566b9d9ab991577b6,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.116.0,bd8f358fd93416835b06486566b9d9ab991577b6,fastapi\__init__.py,MODIFY,1,1
fastapi,0.116.1,313723494be79d4b24ccaa60e4f6d1f96c150fed,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.116.1,313723494be79d4b24ccaa60e4f6d1f96c150fed,fastapi\__init__.py,MODIFY,1,1
fastapi,0.116.2,a372edf7e8825068a780df643700e6cce7e035c5,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.116.2,a372edf7e8825068a780df643700e6cce7e035c5,fastapi\__init__.py,MODIFY,1,1
fastapi,0.117.0,a84001000e59ff362e74f93b8d9a58a4309dac2d,docs\en\docs\release-notes.md,MODIFY,1,4
fastapi,0.117.1,784f06cb9b7cc63f6a0cb2bc9cf238473eef93e2,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.117.1,784f06cb9b7cc63f6a0cb2bc9cf238473eef93e2,fastapi\__init__.py,MODIFY,1,1
fastapi,0.118.0,333f1ba737be6507fc707278f6b69cf1f81efdc1,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.118.0,333f1ba737be6507fc707278f6b69cf1f81efdc1,fastapi\__init__.py,MODIFY,1,1
fastapi,0.118.1,01be148429241adb7a9ba5eb8f6cd5e17230b646,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.118.1,01be148429241adb7a9ba5eb8f6cd5e17230b646,fastapi\__init__.py,MODIFY,1,1
fastapi,0.118.2,942fce394bd66b841b9399cff815bb8a18cfd4c6,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.118.2,942fce394bd66b841b9399cff815bb8a18cfd4c6,fastapi\__init__.py,MODIFY,1,1
fastapi,0.118.3,352dbefc634b21cff94663be1ab0a1aa5dbd6ed5,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.118.3,352dbefc634b21cff94663be1ab0a1aa5dbd6ed5,fastapi\__init__.py,MODIFY,1,1
fastapi,0.119.0,2e721e1b02186467dc3a7a95dfe45d8e7bd7d0d9,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.119.0,2e721e1b02186467dc3a7a95dfe45d8e7bd7d0d9,fastapi\__init__.py,MODIFY,1,1
fastapi,0.119.1,864b569cf8453654fc3bc2c64108c0f644e2918c,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.119.1,864b569cf8453654fc3bc2c64108c0f644e2918c,fastapi\__init__.py,MODIFY,1,1
fastapi,0.120.0,cd40c5b40ffd8ba0c6a6a6c96bbf34ec1cf9c525,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.120.0,cd40c5b40ffd8ba0c6a6a6c96bbf34ec1cf9c525,fastapi\__init__.py,MODIFY,1,1
fastapi,0.120.1,78c94c3f565b9b992d1eecafaeb0991e2b177d7c,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.120.1,78c94c3f565b9b992d1eecafaeb0991e2b177d7c,fastapi\__init__.py,MODIFY,1,1
fastapi,0.120.2,22ccca21fc13b7ac138e277490ec4d05b4f5094a,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.120.2,22ccca21fc13b7ac138e277490ec4d05b4f5094a,fastapi\__init__.py,MODIFY,1,1
fastapi,0.120.3,2cf04ee30db9df2db04a5b1e0d2c625dfbf1a211,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.120.3,2cf04ee30db9df2db04a5b1e0d2c625dfbf1a211,fastapi\__init__.py,MODIFY,1,1
fastapi,0.120.4,fad35ef43fdde74845b416cd2dc795ff489e9719,docs\en\docs\release-notes.md,MODIFY,2,0
fastapi,0.120.4,fad35ef43fdde74845b416cd2dc795ff489e9719,fastapi\__init__.py,MODIFY,1,1
